"CUSTOMER_ID","FIRST_NAME","LAST_NAME","GENDER","DOB"
"C000071","First 000071","Last 000071","M",1970-03-13 00:00:00
"C000072","First 000072","Last 000072","F",1970-03-14 00:00:00
"C000073","First 000073","Last 000073","M",1970-03-15 00:00:00
"C000074","First 000074","Last 000074","F",1970-03-16 00:00:00
"C000075","First 000075","Last 000075","M",1970-03-17 00:00:00
"C000076","First 000076","Last 000076","F",1970-03-18 00:00:00
"C000077","First 000077","Last 000077","M",1970-03-19 00:00:00
"C000078","First 000078","Last 000078","F",1970-03-20 00:00:00
"C000079","First 000079","Last 000079","M",1970-03-21 00:00:00
"C000080","First 000080","Last 000080","F",1970-03-22 00:00:00
"C000081","First 000081","Last 000081","M",1970-03-23 00:00:00
"C000082","First 000082","Last 000082","F",1970-03-24 00:00:00
"C000083","First 000083","Last 000083","M",1970-03-25 00:00:00
"C000084","First 000084","Last 000084","F",1970-03-26 00:00:00
"C000085","First 000085","Last 000085","M",1970-03-27 00:00:00
"C000086","First 000086","Last 000086","F",1970-03-28 00:00:00
"C000087","First 000087","Last 000087","M",1970-03-29 00:00:00
"C000088","First 000088","Last 000088","F",1970-03-30 00:00:00
"C000089","First 000089","Last 000089","M",1970-03-31 00:00:00
"C000090","First 000090","Last 000090","F",1970-04-01 00:00:00
"C000091","First 000091","Last 000091","M",1970-04-02 00:00:00
"C000092","First 000092","Last 000092","F",1970-04-03 00:00:00
"C000093","First 000093","Last 000093","M",1970-04-04 00:00:00
"C000094","First 000094","Last 000094","F",1970-04-05 00:00:00
"C000095","First 000095","Last 000095","M",1970-04-06 00:00:00
"C000096","First 000096","Last 000096","F",1970-04-07 00:00:00
"C000097","First 000097","Last 000097","M",1970-04-08 00:00:00
"C000098","First 000098","Last 000098","F",1970-04-09 00:00:00
"C000099","First 000099","Last 000099","M",1970-04-10 00:00:00
"C000100","First 000100","Last 000100","F",1970-04-11 00:00:00
"C000101","First 000101","Last 000101","M",1970-04-12 00:00:00
"C000102","First 000102","Last 000102","F",1970-04-13 00:00:00
"C000103","First 000103","Last 000103","M",1970-04-14 00:00:00
"C000104","First 000104","Last 000104","F",1970-04-15 00:00:00
"C000105","First 000105","Last 000105","M",1970-04-16 00:00:00
"C000106","First 000106","Last 000106","F",1970-04-17 00:00:00
"C000107","First 000107","Last 000107","M",1970-04-18 00:00:00
"C000108","First 000108","Last 000108","F",1970-04-19 00:00:00
"C000109","First 000109","Last 000109","M",1970-04-20 00:00:00
"C000110","First 000110","Last 000110","F",1970-04-21 00:00:00
"C000111","First 000111","Last 000111","M",1970-04-22 00:00:00
"C000112","First 000112","Last 000112","F",1970-04-23 00:00:00
"C000113","First 000113","Last 000113","M",1970-04-24 00:00:00
"C000114","First 000114","Last 000114","F",1970-04-25 00:00:00
"C000115","First 000115","Last 000115","M",1970-04-26 00:00:00
"C000116","First 000116","Last 000116","F",1970-04-27 00:00:00
"C000117","First 000117","Last 000117","M",1970-04-28 00:00:00
"C000118","First 000118","Last 000118","F",1970-04-29 00:00:00
"C000119","First 000119","Last 000119","M",1970-04-30 00:00:00
"C000120","First 000120","Last 000120","F",1970-05-01 00:00:00
"C000121","First 000121","Last 000121","M",1970-05-02 00:00:00
"C000122","First 000122","Last 000122","F",1970-05-03 00:00:00
"C000123","First 000123","Last 000123","M",1970-05-04 00:00:00
"C000124","First 000124","Last 000124","F",1970-05-05 00:00:00
"C000125","First 000125","Last 000125","M",1970-05-06 00:00:00
"C000126","First 000126","Last 000126","F",1970-05-07 00:00:00
"C000127","First 000127","Last 000127","M",1970-05-08 00:00:00
"C000128","First 000128","Last 000128","F",1970-05-09 00:00:00
"C000129","First 000129","Last 000129","M",1970-05-10 00:00:00
"C000130","First 000130","Last 000130","F",1970-05-11 00:00:00
"C000131","First 000131","Last 000131","M",1970-05-12 00:00:00
"C000132","First 000132","Last 000132","F",1970-05-13 00:00:00
"C000133","First 000133","Last 000133","M",1970-05-14 00:00:00
"C000134","First 000134","Last 000134","F",1970-05-15 00:00:00
"C000135","First 000135","Last 000135","M",1970-05-16 00:00:00
"C000136","First 000136","Last 000136","F",1970-05-17 00:00:00
"C000137","First 000137","Last 000137","M",1970-05-18 00:00:00
"C000138","First 000138","Last 000138","F",1970-05-19 00:00:00
"C000139","First 000139","Last 000139","M",1970-05-20 00:00:00
"C000140","First 000140","Last 000140","F",1970-05-21 00:00:00
"C000141","First 000141","Last 000141","M",1970-05-22 00:00:00
"C000142","First 000142","Last 000142","F",1970-05-23 00:00:00
"C000143","First 000143","Last 000143","M",1970-05-24 00:00:00
"C000144","First 000144","Last 000144","F",1970-05-25 00:00:00
"C000145","First 000145","Last 000145","M",1970-05-26 00:00:00
"C000146","First 000146","Last 000146","F",1970-05-27 00:00:00
"C000147","First 000147","Last 000147","M",1970-05-28 00:00:00
"C000148","First 000148","Last 000148","F",1970-05-29 00:00:00
"C000149","First 000149","Last 000149","M",1970-05-30 00:00:00
"C000150","First 000150","Last 000150","F",1970-05-31 00:00:00
"C000151","First 000151","Last 000151","M",1970-06-01 00:00:00
"C000152","First 000152","Last 000152","F",1970-06-02 00:00:00
"C000153","First 000153","Last 000153","M",1970-06-03 00:00:00
"C000154","First 000154","Last 000154","F",1970-06-04 00:00:00
"C000155","First 000155","Last 000155","M",1970-06-05 00:00:00
"C000156","First 000156","Last 000156","F",1970-06-06 00:00:00
"C000157","First 000157","Last 000157","M",1970-06-07 00:00:00
"C000158","First 000158","Last 000158","F",1970-06-08 00:00:00
"C000159","First 000159","Last 000159","M",1970-06-09 00:00:00
"C000160","First 000160","Last 000160","F",1970-06-10 00:00:00
"C000161","First 000161","Last 000161","M",1970-06-11 00:00:00
"C000162","First 000162","Last 000162","F",1970-06-12 00:00:00
"C000163","First 000163","Last 000163","M",1970-06-13 00:00:00
"C000164","First 000164","Last 000164","F",1970-06-14 00:00:00
"C000165","First 000165","Last 000165","M",1970-06-15 00:00:00
"C000166","First 000166","Last 000166","F",1970-06-16 00:00:00
"C000167","First 000167","Last 000167","M",1970-06-17 00:00:00
"C000168","First 000168","Last 000168","F",1970-06-18 00:00:00
"C000169","First 000169","Last 000169","M",1970-06-19 00:00:00
"C000170","First 000170","Last 000170","F",1970-06-20 00:00:00
"C000171","First 000171","Last 000171","M",1970-06-21 00:00:00
"C000172","First 000172","Last 000172","F",1970-06-22 00:00:00
"C000173","First 000173","Last 000173","M",1970-06-23 00:00:00
"C000174","First 000174","Last 000174","F",1970-06-24 00:00:00
"C000175","First 000175","Last 000175","M",1970-06-25 00:00:00
"C000176","First 000176","Last 000176","F",1970-06-26 00:00:00
"C000177","First 000177","Last 000177","M",1970-06-27 00:00:00
"C000178","First 000178","Last 000178","F",1970-06-28 00:00:00
"C000179","First 000179","Last 000179","M",1970-06-29 00:00:00
"C000180","First 000180","Last 000180","F",1970-06-30 00:00:00
"C000181","First 000181","Last 000181","M",1970-07-01 00:00:00
"C000182","First 000182","Last 000182","F",1970-07-02 00:00:00
"C000183","First 000183","Last 000183","M",1970-07-03 00:00:00
"C000184","First 000184","Last 000184","F",1970-07-04 00:00:00
"C000185","First 000185","Last 000185","M",1970-07-05 00:00:00
"C000186","First 000186","Last 000186","F",1970-07-06 00:00:00
"C000187","First 000187","Last 000187","M",1970-07-07 00:00:00
"C000188","First 000188","Last 000188","F",1970-07-08 00:00:00
"C000189","First 000189","Last 000189","M",1970-07-09 00:00:00
"C000190","First 000190","Last 000190","F",1970-07-10 00:00:00
"C000191","First 000191","Last 000191","M",1970-07-11 00:00:00
"C000192","First 000192","Last 000192","F",1970-07-12 00:00:00
"C000193","First 000193","Last 000193","M",1970-07-13 00:00:00
"C000194","First 000194","Last 000194","F",1970-07-14 00:00:00
"C000195","First 000195","Last 000195","M",1970-07-15 00:00:00
"C000196","First 000196","Last 000196","F",1970-07-16 00:00:00
"C000197","First 000197","Last 000197","M",1970-07-17 00:00:00
"C000198","First 000198","Last 000198","F",1970-07-18 00:00:00
"C000199","First 000199","Last 000199","M",1970-07-19 00:00:00
"C000200","First 000200","Last 000200","F",1970-07-20 00:00:00
"C000201","First 000201","Last 000201","M",1970-07-21 00:00:00
"C000202","First 000202","Last 000202","F",1970-07-22 00:00:00
"C000203","First 000203","Last 000203","M",1970-07-23 00:00:00
"C000204","First 000204","Last 000204","F",1970-07-24 00:00:00
"C000205","First 000205","Last 000205","M",1970-07-25 00:00:00
"C000206","First 000206","Last 000206","F",1970-07-26 00:00:00
"C000207","First 000207","Last 000207","M",1970-07-27 00:00:00
"C000208","First 000208","Last 000208","F",1970-07-28 00:00:00
"C000209","First 000209","Last 000209","M",1970-07-29 00:00:00
"C000210","First 000210","Last 000210","F",1970-07-30 00:00:00
"C000211","First 000211","Last 000211","M",1970-07-31 00:00:00
"C000212","First 000212","Last 000212","F",1970-08-01 00:00:00
"C000213","First 000213","Last 000213","M",1970-08-02 00:00:00
"C000214","First 000214","Last 000214","F",1970-08-03 00:00:00
"C000215","First 000215","Last 000215","M",1970-08-04 00:00:00
"C000216","First 000216","Last 000216","F",1970-08-05 00:00:00
"C000217","First 000217","Last 000217","M",1970-08-06 00:00:00
"C000218","First 000218","Last 000218","F",1970-08-07 00:00:00
"C000219","First 000219","Last 000219","M",1970-08-08 00:00:00
"C000220","First 000220","Last 000220","F",1970-08-09 00:00:00
"C000221","First 000221","Last 000221","M",1970-08-10 00:00:00
"C000222","First 000222","Last 000222","F",1970-08-11 00:00:00
"C000223","First 000223","Last 000223","M",1970-08-12 00:00:00
"C000224","First 000224","Last 000224","F",1970-08-13 00:00:00
"C000225","First 000225","Last 000225","M",1970-08-14 00:00:00
"C000226","First 000226","Last 000226","F",1970-08-15 00:00:00
"C000227","First 000227","Last 000227","M",1970-08-16 00:00:00
"C000228","First 000228","Last 000228","F",1970-08-17 00:00:00
"C000229","First 000229","Last 000229","M",1970-08-18 00:00:00
"C000230","First 000230","Last 000230","F",1970-08-19 00:00:00
"C000231","First 000231","Last 000231","M",1970-08-20 00:00:00
"C000232","First 000232","Last 000232","F",1970-08-21 00:00:00
"C000233","First 000233","Last 000233","M",1970-08-22 00:00:00
"C000234","First 000234","Last 000234","F",1970-08-23 00:00:00
"C000235","First 000235","Last 000235","M",1970-08-24 00:00:00
"C000236","First 000236","Last 000236","F",1970-08-25 00:00:00
"C000237","First 000237","Last 000237","M",1970-08-26 00:00:00
"C000238","First 000238","Last 000238","F",1970-08-27 00:00:00
"C000239","First 000239","Last 000239","M",1970-08-28 00:00:00
"C000240","First 000240","Last 000240","F",1970-08-29 00:00:00
"C000241","First 000241","Last 000241","M",1970-08-30 00:00:00
"C000242","First 000242","Last 000242","F",1970-08-31 00:00:00
"C000243","First 000243","Last 000243","M",1970-09-01 00:00:00
"C000244","First 000244","Last 000244","F",1970-09-02 00:00:00
"C000245","First 000245","Last 000245","M",1970-09-03 00:00:00
"C000246","First 000246","Last 000246","F",1970-09-04 00:00:00
"C000247","First 000247","Last 000247","M",1970-09-05 00:00:00
"C000248","First 000248","Last 000248","F",1970-09-06 00:00:00
"C000249","First 000249","Last 000249","M",1970-09-07 00:00:00
"C000250","First 000250","Last 000250","F",1970-09-08 00:00:00
"C000251","First 000251","Last 000251","M",1970-09-09 00:00:00
"C000252","First 000252","Last 000252","F",1970-09-10 00:00:00
"C000253","First 000253","Last 000253","M",1970-09-11 00:00:00
"C000254","First 000254","Last 000254","F",1970-09-12 00:00:00
"C000255","First 000255","Last 000255","M",1970-09-13 00:00:00
"C000256","First 000256","Last 000256","F",1970-09-14 00:00:00
"C000257","First 000257","Last 000257","M",1970-09-15 00:00:00
"C000258","First 000258","Last 000258","F",1970-09-16 00:00:00
"C000259","First 000259","Last 000259","M",1970-09-17 00:00:00
"C000260","First 000260","Last 000260","F",1970-09-18 00:00:00
"C000261","First 000261","Last 000261","M",1970-09-19 00:00:00
"C000262","First 000262","Last 000262","F",1970-09-20 00:00:00
"C000263","First 000263","Last 000263","M",1970-09-21 00:00:00
"C000264","First 000264","Last 000264","F",1970-09-22 00:00:00
"C000265","First 000265","Last 000265","M",1970-09-23 00:00:00
"C000266","First 000266","Last 000266","F",1970-09-24 00:00:00
"C000267","First 000267","Last 000267","M",1970-09-25 00:00:00
"C000268","First 000268","Last 000268","F",1970-09-26 00:00:00
"C000269","First 000269","Last 000269","M",1970-09-27 00:00:00
"C000270","First 000270","Last 000270","F",1970-09-28 00:00:00
"C000271","First 000271","Last 000271","M",1970-09-29 00:00:00
"C000272","First 000272","Last 000272","F",1970-09-30 00:00:00
"C000273","First 000273","Last 000273","M",1970-10-01 00:00:00
"C000274","First 000274","Last 000274","F",1970-10-02 00:00:00
"C000275","First 000275","Last 000275","M",1970-10-03 00:00:00
"C000276","First 000276","Last 000276","F",1970-10-04 00:00:00
"C000277","First 000277","Last 000277","M",1970-10-05 00:00:00
"C000278","First 000278","Last 000278","F",1970-10-06 00:00:00
"C000279","First 000279","Last 000279","M",1970-10-07 00:00:00
"C000280","First 000280","Last 000280","F",1970-10-08 00:00:00
"C000281","First 000281","Last 000281","M",1970-10-09 00:00:00
"C000282","First 000282","Last 000282","F",1970-10-10 00:00:00
"C000283","First 000283","Last 000283","M",1970-10-11 00:00:00
"C000284","First 000284","Last 000284","F",1970-10-12 00:00:00
"C000285","First 000285","Last 000285","M",1970-10-13 00:00:00
"C000286","First 000286","Last 000286","F",1970-10-14 00:00:00
"C000287","First 000287","Last 000287","M",1970-10-15 00:00:00
"C000288","First 000288","Last 000288","F",1970-10-16 00:00:00
"C000289","First 000289","Last 000289","M",1970-10-17 00:00:00
"C000290","First 000290","Last 000290","F",1970-10-18 00:00:00
"C000291","First 000291","Last 000291","M",1970-10-19 00:00:00
"C000292","First 000292","Last 000292","F",1970-10-20 00:00:00
"C000293","First 000293","Last 000293","M",1970-10-21 00:00:00
"C000294","First 000294","Last 000294","F",1970-10-22 00:00:00
"C000295","First 000295","Last 000295","M",1970-10-23 00:00:00
"C000296","First 000296","Last 000296","F",1970-10-24 00:00:00
"C000297","First 000297","Last 000297","M",1970-10-25 00:00:00
"C000298","First 000298","Last 000298","F",1970-10-26 00:00:00
"C000299","First 000299","Last 000299","M",1970-10-27 00:00:00
"C000300","First 000300","Last 000300","F",1970-10-28 00:00:00
"C000301","First 000301","Last 000301","M",1970-10-29 00:00:00
"C000302","First 000302","Last 000302","F",1970-10-30 00:00:00
"C000303","First 000303","Last 000303","M",1970-10-31 00:00:00
"C000304","First 000304","Last 000304","F",1970-11-01 00:00:00
"C000305","First 000305","Last 000305","M",1970-11-02 00:00:00
"C000306","First 000306","Last 000306","F",1970-11-03 00:00:00
"C000307","First 000307","Last 000307","M",1970-11-04 00:00:00
"C000308","First 000308","Last 000308","F",1970-11-05 00:00:00
"C000309","First 000309","Last 000309","M",1970-11-06 00:00:00
"C000310","First 000310","Last 000310","F",1970-11-07 00:00:00
"C000311","First 000311","Last 000311","M",1970-11-08 00:00:00
"C000312","First 000312","Last 000312","F",1970-11-09 00:00:00
"C000313","First 000313","Last 000313","M",1970-11-10 00:00:00
"C000314","First 000314","Last 000314","F",1970-11-11 00:00:00
"C000315","First 000315","Last 000315","M",1970-11-12 00:00:00
"C000316","First 000316","Last 000316","F",1970-11-13 00:00:00
"C000317","First 000317","Last 000317","M",1970-11-14 00:00:00
"C000318","First 000318","Last 000318","F",1970-11-15 00:00:00
"C000319","First 000319","Last 000319","M",1970-11-16 00:00:00
"C000320","First 000320","Last 000320","F",1970-11-17 00:00:00
"C000321","First 000321","Last 000321","M",1970-11-18 00:00:00
"C000322","First 000322","Last 000322","F",1970-11-19 00:00:00
"C000323","First 000323","Last 000323","M",1970-11-20 00:00:00
"C000324","First 000324","Last 000324","F",1970-11-21 00:00:00
"C000325","First 000325","Last 000325","M",1970-11-22 00:00:00
"C000326","First 000326","Last 000326","F",1970-11-23 00:00:00
"C000327","First 000327","Last 000327","M",1970-11-24 00:00:00
"C000328","First 000328","Last 000328","F",1970-11-25 00:00:00
"C000329","First 000329","Last 000329","M",1970-11-26 00:00:00
"C000330","First 000330","Last 000330","F",1970-11-27 00:00:00
"C000331","First 000331","Last 000331","M",1970-11-28 00:00:00
"C000332","First 000332","Last 000332","F",1970-11-29 00:00:00
"C000333","First 000333","Last 000333","M",1970-11-30 00:00:00
"C000334","First 000334","Last 000334","F",1970-12-01 00:00:00
"C000335","First 000335","Last 000335","M",1970-12-02 00:00:00
"C000336","First 000336","Last 000336","F",1970-12-03 00:00:00
"C000337","First 000337","Last 000337","M",1970-12-04 00:00:00
"C000338","First 000338","Last 000338","F",1970-12-05 00:00:00
"C000339","First 000339","Last 000339","M",1970-12-06 00:00:00
"C000340","First 000340","Last 000340","F",1970-12-07 00:00:00
"C000341","First 000341","Last 000341","M",1970-12-08 00:00:00
"C000342","First 000342","Last 000342","F",1970-12-09 00:00:00
"C000343","First 000343","Last 000343","M",1970-12-10 00:00:00
"C000344","First 000344","Last 000344","F",1970-12-11 00:00:00
"C000345","First 000345","Last 000345","M",1970-12-12 00:00:00
"C000346","First 000346","Last 000346","F",1970-12-13 00:00:00
"C000347","First 000347","Last 000347","M",1970-12-14 00:00:00
"C000348","First 000348","Last 000348","F",1970-12-15 00:00:00
"C000349","First 000349","Last 000349","M",1970-12-16 00:00:00
"C000350","First 000350","Last 000350","F",1970-12-17 00:00:00
"C000351","First 000351","Last 000351","M",1970-12-18 00:00:00
"C000352","First 000352","Last 000352","F",1970-12-19 00:00:00
"C000353","First 000353","Last 000353","M",1970-12-20 00:00:00
"C000354","First 000354","Last 000354","F",1970-12-21 00:00:00
"C000355","First 000355","Last 000355","M",1970-12-22 00:00:00
"C000356","First 000356","Last 000356","F",1970-12-23 00:00:00
"C000357","First 000357","Last 000357","M",1970-12-24 00:00:00
"C000358","First 000358","Last 000358","F",1970-12-25 00:00:00
"C000359","First 000359","Last 000359","M",1970-12-26 00:00:00
"C000360","First 000360","Last 000360","F",1970-12-27 00:00:00
"C000361","First 000361","Last 000361","M",1970-12-28 00:00:00
"C000362","First 000362","Last 000362","F",1970-12-29 00:00:00
"C000363","First 000363","Last 000363","M",1970-12-30 00:00:00
"C000364","First 000364","Last 000364","F",1970-12-31 00:00:00
"C000365","First 000365","Last 000365","M",1971-01-01 00:00:00
"C000366","First 000366","Last 000366","F",1971-01-02 00:00:00
"C000367","First 000367","Last 000367","M",1971-01-03 00:00:00
"C000368","First 000368","Last 000368","F",1971-01-04 00:00:00
"C000369","First 000369","Last 000369","M",1971-01-05 00:00:00
"C000370","First 000370","Last 000370","F",1971-01-06 00:00:00
"C000371","First 000371","Last 000371","M",1971-01-07 00:00:00
"C000372","First 000372","Last 000372","F",1971-01-08 00:00:00
"C000373","First 000373","Last 000373","M",1971-01-09 00:00:00
"C000374","First 000374","Last 000374","F",1971-01-10 00:00:00
"C000375","First 000375","Last 000375","M",1971-01-11 00:00:00
"C000376","First 000376","Last 000376","F",1971-01-12 00:00:00
"C000377","First 000377","Last 000377","M",1971-01-13 00:00:00
"C000378","First 000378","Last 000378","F",1971-01-14 00:00:00
"C000379","First 000379","Last 000379","M",1971-01-15 00:00:00
"C000380","First 000380","Last 000380","F",1971-01-16 00:00:00
"C000381","First 000381","Last 000381","M",1971-01-17 00:00:00
"C000382","First 000382","Last 000382","F",1971-01-18 00:00:00
"C000383","First 000383","Last 000383","M",1971-01-19 00:00:00
"C000384","First 000384","Last 000384","F",1971-01-20 00:00:00
"C000385","First 000385","Last 000385","M",1971-01-21 00:00:00
"C000386","First 000386","Last 000386","F",1971-01-22 00:00:00
"C000387","First 000387","Last 000387","M",1971-01-23 00:00:00
"C000388","First 000388","Last 000388","F",1971-01-24 00:00:00
"C000389","First 000389","Last 000389","M",1971-01-25 00:00:00
"C000390","First 000390","Last 000390","F",1971-01-26 00:00:00
"C000391","First 000391","Last 000391","M",1971-01-27 00:00:00
"C000392","First 000392","Last 000392","F",1971-01-28 00:00:00
"C000393","First 000393","Last 000393","M",1971-01-29 00:00:00
"C000394","First 000394","Last 000394","F",1971-01-30 00:00:00
"C000395","First 000395","Last 000395","M",1971-01-31 00:00:00
"C000396","First 000396","Last 000396","F",1971-02-01 00:00:00
"C000397","First 000397","Last 000397","M",1971-02-02 00:00:00
"C000398","First 000398","Last 000398","F",1971-02-03 00:00:00
"C000399","First 000399","Last 000399","M",1971-02-04 00:00:00
"C000400","First 000400","Last 000400","F",1971-02-05 00:00:00
"C000401","First 000401","Last 000401","M",1971-02-06 00:00:00
"C000402","First 000402","Last 000402","F",1971-02-07 00:00:00
"C000403","First 000403","Last 000403","M",1971-02-08 00:00:00
"C000404","First 000404","Last 000404","F",1971-02-09 00:00:00
"C000405","First 000405","Last 000405","M",1971-02-10 00:00:00
"C000406","First 000406","Last 000406","F",1971-02-11 00:00:00
"C000407","First 000407","Last 000407","M",1971-02-12 00:00:00
"C000408","First 000408","Last 000408","F",1971-02-13 00:00:00
"C000409","First 000409","Last 000409","M",1971-02-14 00:00:00
"C000410","First 000410","Last 000410","F",1971-02-15 00:00:00
"C000411","First 000411","Last 000411","M",1971-02-16 00:00:00
"C000412","First 000412","Last 000412","F",1971-02-17 00:00:00
"C000413","First 000413","Last 000413","M",1971-02-18 00:00:00
"C000414","First 000414","Last 000414","F",1971-02-19 00:00:00
"C000415","First 000415","Last 000415","M",1971-02-20 00:00:00
"C000416","First 000416","Last 000416","F",1971-02-21 00:00:00
"C000417","First 000417","Last 000417","M",1971-02-22 00:00:00
"C000418","First 000418","Last 000418","F",1971-02-23 00:00:00
"C000419","First 000419","Last 000419","M",1971-02-24 00:00:00
"C000420","First 000420","Last 000420","F",1971-02-25 00:00:00
"C000421","First 000421","Last 000421","M",1971-02-26 00:00:00
"C000422","First 000422","Last 000422","F",1971-02-27 00:00:00
"C000423","First 000423","Last 000423","M",1971-02-28 00:00:00
"C000424","First 000424","Last 000424","F",1971-03-01 00:00:00
"C000425","First 000425","Last 000425","M",1971-03-02 00:00:00
"C000426","First 000426","Last 000426","F",1971-03-03 00:00:00
"C000427","First 000427","Last 000427","M",1971-03-04 00:00:00
"C000428","First 000428","Last 000428","F",1971-03-05 00:00:00
"C000429","First 000429","Last 000429","M",1971-03-06 00:00:00
"C000430","First 000430","Last 000430","F",1971-03-07 00:00:00
"C000431","First 000431","Last 000431","M",1971-03-08 00:00:00
"C000432","First 000432","Last 000432","F",1971-03-09 00:00:00
"C000433","First 000433","Last 000433","M",1971-03-10 00:00:00
"C000434","First 000434","Last 000434","F",1971-03-11 00:00:00
"C000435","First 000435","Last 000435","M",1971-03-12 00:00:00
"C000436","First 000436","Last 000436","F",1971-03-13 00:00:00
"C000437","First 000437","Last 000437","M",1971-03-14 00:00:00
"C000438","First 000438","Last 000438","F",1971-03-15 00:00:00
"C000439","First 000439","Last 000439","M",1971-03-16 00:00:00
"C000440","First 000440","Last 000440","F",1971-03-17 00:00:00
"C000441","First 000441","Last 000441","M",1971-03-18 00:00:00
"C000442","First 000442","Last 000442","F",1971-03-19 00:00:00
"C000443","First 000443","Last 000443","M",1971-03-20 00:00:00
"C000444","First 000444","Last 000444","F",1971-03-21 00:00:00
"C000445","First 000445","Last 000445","M",1971-03-22 00:00:00
"C000446","First 000446","Last 000446","F",1971-03-23 00:00:00
"C000447","First 000447","Last 000447","M",1971-03-24 00:00:00
"C000448","First 000448","Last 000448","F",1971-03-25 00:00:00
"C000449","First 000449","Last 000449","M",1971-03-26 00:00:00
